/metrics	MATCH	sig-instrumentation	handwritten:lep-0009-seed
/metrics	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
/metrics endpoints	MATCH	sig-instrumentation	catalog
abac	MATCH	sig-auth	catalog
admission controllers	MATCH	sig-api-machinery	catalog
affinity	MATCH	sig-scheduling	handwritten:lep-0009-seed
affinity	NOT_MATCH	sig-node	handwritten:lep-0009-seed
affinity/anti-affinity	MATCH	sig-scheduling	catalog
aggregation layer	MATCH	sig-api-machinery	catalog
api conventions	MATCH	sig-architecture	catalog
api discovery	MATCH	sig-api-machinery	catalog
api server internals	MATCH	sig-api-machinery	catalog
apiextensions	MATCH	sig-api-machinery	catalog
apimachinery	MATCH	sig-api-machinery	catalog
attach	MATCH	sig-storage	handwritten:lep-0009-seed
attach	NOT_MATCH	sig-node	handwritten:lep-0009-seed
attach/detach	MATCH	sig-storage	catalog
audit logging	MATCH	sig-auth	catalog
authentication	MATCH	sig-auth	handwritten:lep-0009-seed
authentication	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
authentication	NOT_MATCH	sig-node	handwritten:lep-0009-seed
authentication (tokens	MATCH	sig-auth	catalog
authorization	MATCH	sig-auth	catalog
authorization	MATCH	sig-auth	handwritten:lep-0009-seed
authorization	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
authorization	NOT_MATCH	sig-node	handwritten:lep-0009-seed
authorization header	MATCH	sig-auth	handwritten:lep-0009-seed
authorization header	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
authorization header	NOT_MATCH	sig-node	handwritten:lep-0009-seed
autoscaling	MATCH	sig-autoscaling	handwritten:lep-0009-seed
autoscaling	NOT_MATCH	sig-apps	handwritten:lep-0009-seed
backup/restore	MATCH	sig-etcd	catalog
benchmarking	MATCH	sig-scalability	catalog
bound/projected tokens	MATCH	sig-auth	catalog
branch cut	MATCH	sig-release	catalog
build and packaging (debs/rpms	MATCH	sig-release	catalog
certificate	MATCH	sig-auth	handwritten:lep-0009-seed
certificate	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
certificate	NOT_MATCH	sig-node	handwritten:lep-0009-seed
certificates	MATCH	sig-auth	catalog
cgroup	MATCH	sig-node	handwritten:lep-0009-seed
cgroups	MATCH	sig-node	catalog
ci infra behavior	MATCH	sig-testing	catalog
client certs)	MATCH	sig-auth	catalog
client-go	MATCH	sig-api-machinery	catalog
client-side apply	MATCH	sig-cli	catalog
cloud provider interface (loadbalancer	MATCH	sig-cloud-provider	catalog
cloud-controller-manager	MATCH	sig-cloud-provider	catalog
cluster federation	MATCH	sig-multicluster	catalog
